filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
1-187207-A.ogg,0.3315049409866333,0.1186184361577034,1472.0924016855909,1615.5325538129882,2734.068806966146,0.07227240668402778,-283.19036865234375,102.46142578125,-8.519207000732422,8.025209426879883,-19.818262100219727,3.0469400882720947,2.3813583850860596,-7.01936674118042,6.668087959289551,8.140036582946777,1.0149922370910645,-2.90042781829834,-4.648396968841553,-1.8443100452423096,4.445267200469971,9.979971885681152,11.949840545654297,5.558558940887451,-3.4204485416412354,-6.610166549682617,Baby-cry
1-211527-A.ogg,0.31172287464141846,0.05396426469087601,3185.8641478312966,2128.989595089667,5294.775390625,0.20205123336226852,-298.9542541503906,4.484298229217529,-45.028255462646484,28.080467224121094,-8.220656394958496,-2.532005548477173,11.78182601928711,9.918047904968262,5.430832386016846,-5.266989707946777,0.25819918513298035,8.520106315612793,3.4781062602996826,34.864933013916016,22.116695404052734,17.021541595458984,2.404275894165039,-3.20041823387146,-5.910731792449951,6.336122989654541,Baby-cry
1-211527-B.ogg,0.45784345269203186,0.06779259443283081,2294.014692711054,2050.651826412712,4338.840738932292,0.11527054398148148,-198.6815643310547,80.97935485839844,-53.779449462890625,12.414166450500488,-25.849117279052734,7.314657688140869,15.542037010192871,9.662683486938477,-2.8172709941864014,-1.9818955659866333,2.366082191467285,5.900571346282959,-0.13326331973075867,10.952659606933594,8.099955558776855,15.800622940063477,18.235065460205078,10.816125869750977,1.0651320219039917,5.17258882522583,Baby-cry
1-211527-C.ogg,0.27468839287757874,0.0713280588388443,3246.046815466644,2198.989656525603,5337.6922607421875,0.1960177951388889,-260.3197937011719,-10.83146858215332,-55.668819427490234,11.06153678894043,-23.7603759765625,-7.18757438659668,20.518844604492188,5.213393688201904,-5.9556403160095215,-4.6674041748046875,-0.1485166847705841,13.048235893249512,2.995487928390503,48.43925094604492,35.75412368774414,20.838504791259766,-4.047504425048828,-5.0878376960754395,-7.830904483795166,10.252202033996582,Baby-cry
1-22694-A.ogg,0.39387047290802,0.054897911846637726,3196.345712828281,2774.817257435937,6797.8627522786455,0.1767894603587963,-298.2121276855469,50.15651321411133,-23.83216094970703,3.4300107955932617,1.9814292192459106,9.816686630249023,-2.6055490970611572,17.56502342224121,-4.010288715362549,2.352980852127075,-3.4836924076080322,1.4203497171401978,-8.201634407043457,0.0699993446469307,2.7401516437530518,10.187945365905762,10.289092063903809,17.09843635559082,-5.085989475250244,0.11782271414995193,Baby-cry
1-22694-B.ogg,0.5028502941131592,0.033316776156425476,2771.287465772591,2677.4534338988547,5942.366536458333,0.1400417751736111,-338.7852783203125,73.75238037109375,-8.694705963134766,4.195370674133301,7.163938522338867,10.695778846740723,-3.290156841278076,12.340252876281738,1.2456941604614258,4.514072418212891,-7.26093053817749,3.5398335456848145,-4.253125190734863,2.761530637741089,-3.152254104614258,5.078754901885986,8.693394660949707,13.781984329223633,-3.283926248550415,6.28949499130249,Baby-cry
1-60997-A.ogg,0.3629089593887329,0.05507700517773628,3386.8680336177586,2194.428299753008,5787.845865885417,0.2158881293402778,-326.1644287109375,-3.7200396060943604,-57.566036224365234,6.178898334503174,-48.02720642089844,7.045544624328613,-6.261260509490967,0.08114513009786606,-7.833911895751953,-2.3441126346588135,-14.328516960144043,-8.513075828552246,1.647139549255371,3.654881715774536,1.4781290292739868,14.935340881347656,7.61489200592041,5.71807861328125,-1.0903687477111816,-1.6593940258026123,Baby-cry
1-60997-B.ogg,0.31846776604652405,0.05443344637751579,3566.183276170705,2036.1366147724113,5828.818766276042,0.22823305483217593,-293.8440856933594,-35.09600067138672,-78.79496002197266,12.67690658569336,-49.74402618408203,7.5038323402404785,-13.935735702514648,5.948925971984863,-11.425250053405762,-2.0835492610931396,-23.321529388427734,-10.382416725158691,2.822140693664551,7.287412643432617,4.837437152862549,16.24610137939453,8.50794506072998,1.2906913757324219,-5.060351848602295,-2.571143627166748,Baby-cry
2-107351-A.ogg,0.30537980794906616,0.14283964037895203,3165.7365187698297,2306.567615403187,5669.521324656834,0.1988034827686916,-178.82225036621094,12.495336532592773,-61.39487075805664,1.8701667785644531,-8.303535461425781,-21.84591293334961,-21.779434204101562,17.234785079956055,4.875068664550781,-4.514144420623779,-3.3897125720977783,3.2191693782806396,9.343382835388184,9.145984649658203,-2.8546142578125,2.926330089569092,-1.5848441123962402,0.5849713683128357,-4.595824718475342,-2.961637020111084,Baby-cry
2-107351-B.ogg,0.27060264348983765,0.19302022457122803,3153.5100510924985,2156.5443485297324,5170.1121012369795,0.20376021773726852,-167.96231079101562,-3.980607748031616,-73.45293426513672,4.001571178436279,-1.6535613536834717,-5.914910316467285,-18.16925048828125,14.884024620056152,11.203914642333984,-8.775862693786621,-4.638489246368408,8.781547546386719,15.425325393676758,3.287466287612915,0.7278019189834595,5.306297779083252,-4.8877177238464355,0.9201599955558777,1.5327802896499634,4.890521049499512,Baby-cry
2-151079-A.ogg,0.36176836490631104,0.045511554926633835,2732.2654767149093,2526.4848788653144,5602.919514973958,0.11802164713541667,-319.4814147949219,37.95175552368164,-37.044334411621094,-26.90193748474121,-11.824440956115723,2.161553382873535,9.173784255981445,6.257550239562988,0.9370830655097961,2.327528238296509,-7.358419418334961,2.6174542903900146,2.535430431365967,-0.9718417525291443,10.502923011779785,4.099933624267578,7.310701847076416,9.113285064697266,2.4236433506011963,5.309499263763428,Baby-cry
2-50665-A.ogg,0.24651725590229034,0.04783563315868378,1532.485324581589,1354.886971826892,2824.089558919271,0.08333107277199074,-428.837646484375,17.274934768676758,-23.620962142944336,10.919737815856934,-18.829513549804688,0.5666284561157227,-4.1858367919921875,0.383994460105896,15.606996536254883,-6.918438911437988,0.6733462810516357,9.538021087646484,13.680140495300293,15.015177726745605,9.93150806427002,4.824138164520264,-8.334790229797363,-1.1783452033996582,0.1135118305683136,1.145348072052002,Baby-cry
2-50666-A.ogg,0.2648085951805115,0.08182648569345474,2095.8639743506446,1912.4529075079902,4263.474527994792,0.10078486689814815,-309.0426025390625,54.05091857910156,-31.752052307128906,31.586851119995117,-28.78714942932129,2.130122184753418,-19.366960525512695,3.906435251235962,28.11008071899414,7.105627059936523,-0.11092659085988998,-2.520772695541382,-2.9005517959594727,-13.676594734191895,-2.983647108078003,-2.585482358932495,10.488786697387695,15.533713340759277,16.059253692626953,18.898033142089844,Baby-cry
